-127,-19.05,8
-127,-19.05,8
-125,-18.75,8
-123,-18.45,8
-119,-17.85,8
-116,-17.4,8
-113,-16.95,8
-108,-16.2,-8
-102,-15.3,-8
-94,-14.1,-8
-82,-12.3,-8
-60,-9.15,-8
-48,-7.2,-8
-38,-5.7,-8
-18,-2.7,-8
-12,-1.8,-8
-2,-0.3,-8
19,2.85,-8
30,4.5,-8
40,6,-8
53,7.95,-8
64,9.6,-8
75,11.25,-8
86,12.9,-8
94,14.1,-8
103,15.45,-8
114,17.1,-8
120,18,-8
126,18.9,-8
129,19.35,-8
132,19.8,-8
138,20.7,-8
141,21.15,-8
142,21.3,-8
143,21.45,-8
144,21.6,-8
144,21.6,-8
144,21.6,-8
144,21.6,-8
143,21.6,-8
143,21.45,-8
142,21.3,-8
141,21.15,-8
138,20.7,-8
132,19.8,-8
126,18.9,-8
117,17.55,-8
107,16.05,8
101,15.15,8
87,13.05,8
67,10.05,8
36,5.55,8
27,4.2,8
9,1.35,8
-27,-3.9,8
-53,-7.8,8
-69,-10.35,8
-91,-13.65,-8
-109,-16.35,-8
-104,-15.6,-8
-103,-15.45,-8
-128,-19.05,-8
-141,-21.15,-8
-149,-22.35,-8
-151,-22.65,-8
-166,-24.75,-8
-169,-25.35,-8
-183,-27.45,8
-188,-28.2,8
-205,-30.75,8
-197,-29.55,8
-204,-30.6,8
-202,-30.3,8
-197,-29.55,8
-196,-29.4,8
-196,-29.4,8
-194,-29.1,8
-192,-28.8,-8
-187,-28.05,-8
-175,-26.25,-8
-172,-25.8,-8
-155,-23.25,-8
-128,-19.2,-8
-118,-17.85,-8
-105,-15.75,-8
-80,-12,-8
-55,-8.25,-8
-46,-6.9,-8
-35,-5.25,-8
5,0.75,-8
25,3.75,-8
32,4.8,-8
41,6.15,-8
78,11.55,-8
93,13.95,-8
99,14.85,-8
114,16.95,-8
139,20.85,8
141,21.15,8
126,18.9,8
117,17.55,8
114,17.1,8
138,20.55,8
161,24.15,8
179,26.85,8
175,26.25,8
168,25.2,8
169,25.35,8
168,25.2,8
167,25.05,8
165,24.75,8
160,24,8
154,23.1,8
148,22.2,8
139,20.85,8
127,19.2,8
119,18,8
114,17.1,-8
96,14.55,-8
76,11.4,-8
73,10.95,-8
72,10.8,-8
71,10.65,-8
62,9.3,-8
56,8.55,-8
51,7.65,-8
47,7.05,-8
42,6.3,-8
34,5.1,-8
26,3.9,-8
23,3.45,-8
19,2.85,-8
11,1.65,-8
-1,-0.15,-8
-10,-1.5,-8
-13,-1.8,-8
-15,-2.25,-8
-23,-3.3,8
-32,-4.8,8
-64,-9.6,8
-65,-9.75,8
-72,-10.8,8
-78,-11.7,8
-87,-13.05,8
-88,-13.2,8
-90,-13.5,8
-105,-15.75,8
-108,-16.2,-8
-109,-16.35,-8
-92,-13.8,-8
-88,-13.2,-8
-92,-13.8,-8
-107,-16.05,-8
-113,-16.95,-8
-110,-16.65,-8
-101,-15.15,-8
-100,-15,-8
-99,-14.85,-8
-94,-14.1,-8
-87,-13.05,-8
-80,-12,-8
-69,-10.35,-8
-58,-8.7,-8
-46,-7.05,-8
-29,-4.35,-8
-24,-3.6,-8
-14,-2.1,-8
-8,-1.2,-8
0,0,-8
11,1.65,-8
22,3.3,-8
30,4.5,-8
37,5.55,-8
47,7.05,-8
53,7.95,-8
59,8.85,-8
67,10.05,-8
74,11.1,8
76,11.4,8
68,10.2,8
67,10.05,8
75,11.25,8
85,12.75,8
83,12.45,8
81,12.15,8
77,11.55,8
77,11.55,8
